tweet_id,name,breed,stage,rating_numerator,rating_denominator,favourite_count,retweet_count,timestamp,source,text,expanded_urls,jpg_url,img_num
892177421306343426,Archie,Chihuahua,None,13.0,10.0,33819,6514,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1
891815181378084864,Darla,Chihuahua,None,12.0,10.0,25461,4328,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1
891689557279858688,Franklin,Labrador Retriever,None,13.0,10.0,42908,8964,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1
891327558926688256,None,Basset,None,12.0,10.0,41048,9774,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2
891087950875897856,Jax,Chesapeake Bay Retriever,None,13.0,10.0,20562,3261,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1
890971913173991426,None,Appenzeller,None,13.0,10.0,12041,2158,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1
890729181411237888,Zoey,Pomeranian,None,13.0,10.0,56848,16716,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2
890609185150312448,Cassie,Irish Terrier,None,13.0,10.0,28226,4429,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1
890240255349198849,Koda,Pembroke,Doggo,14.0,10.0,32467,7711,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1
890006608113172480,Bruno,Samoyed,None,13.0,10.0,31166,7624,2017-07-26 00:31:25,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1
889880896479866881,None,French Bulldog,None,13.0,10.0,28268,5156,2017-07-25 16:11:53,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1
889665388333682689,Ted,Pembroke,Puppo,13.0,10.0,38818,8538,2017-07-25 01:55:32,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1
889638837579907072,Stuart,French Bulldog,None,12.0,10.0,27672,4735,2017-07-25 00:10:02,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1
889531135344209921,Oliver,Golden Retriever,Puppo,13.0,10.0,15359,2321,2017-07-24 17:02:04,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1
889278841981685760,Jim,Whippet,None,13.0,10.0,25652,5637,2017-07-24 00:19:32,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1
888917238123831296,Zeke,Golden Retriever,None,12.0,10.0,29611,4709,2017-07-23 00:22:39,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1
888804989199671297,Ralphus,Golden Retriever,None,13.0,10.0,26080,4559,2017-07-22 16:56:37,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1
888554962724278272,Gerald,Siberian Husky,None,13.0,10.0,20290,3732,2017-07-22 00:23:06,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3
888078434458587136,Canela,French Bulldog,None,12.0,10.0,22201,3653,2017-07-20 16:49:33,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1
887705289381826560,None,Basset,None,13.0,10.0,30779,5609,2017-07-19 16:06:48,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://twitter.com/dog_rates/status/887705289381826560/photo/1,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1
887473957103951883,Maya,Pembroke,None,13.0,10.0,69871,18781,2017-07-19 00:47:34,Twitter for iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2
887343217045368832,Mingus,Mexican Hairless,None,13.0,10.0,34222,10737,2017-07-18 16:08:03,Twitter for iPhone,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,https://twitter.com/dog_rates/status/887343217045368832/video/1,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1
887101392804085760,Roscoe,Samoyed,None,12.0,10.0,31061,6167,2017-07-18 00:07:08,Twitter for iPhone,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,https://twitter.com/dog_rates/status/887101392804085760/photo/1,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1
886983233522544640,Waffles,Chihuahua,None,13.0,10.0,35859,8084,2017-07-17 16:17:36,Twitter for iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2
